Pond,Latitude,Longitude,Stocked,eDNA,Last_Year,Last_Ind,Last_CPUE,Avg_Ind,Avg_CPUE,Sum_Ind,Sum_CPUE,Copy_Number
RAIL,52.905836,1.1558696,Y,Y,2016,349,58.16666667,290.375,46.54166667,2323,372.3333333,93
MYST,52.9104734,1.1596276,Y,Y,2016,37,6.166666667,18.5,3.083333333,37,6.166666667,6
POHI,52.879851,1.1245044,Y,Y,2016,58,7.25,121.1666667,12.69444444,727,76.16666667,2
POFA4,52.8986756,1.1691136,Y,Y,2016,82,13.66666667,66.8,11.16666667,334,55.83333333,29
WADD3,52.8498068,1.0392746,Y,Y,2013,378,126,235.6666667,96.83333333,707,290.5,211
OTOM,52.804541,1.1029304,Y,Y,2016,44,14.66666667,146.3333333,58.77777778,439,176.3333333,100
CHIP,52.8228178,1.0378012,Y,N,2016,242,60.5,137.3333333,34.33333333,412,103,0
CAKE,52.7692544,0.7556878,Y,Y,2016,172,43,132,33,264,66,2
GUES1,52.7998018,1.0681818,Y,Y,2016,487,121.75,179,44.41666667,537,133.25,86
SKEY1,52.8043858,1.3433198,Y,Y,2015,251,31.375,251,1,251,1,26
PYES2,52.7838558,1.1629366,N,N,2010,0,0,0,0,0,0,0
WOOD,52.814602,1.1090562,N,N,2010,0,0,0,0,0,0,0
VALE,52.7232448,0.9065566,N,N,2014,0,0,0,0,0,0,0
WADD10,52.8434608,1.0377432,N,N,2014,0,0,0,0,0,0,0
WADD11,52.8423368,1.0408254,N,N,NA,NA,NA,0,0,0,0,0
WADD17,52.8440854,1.0456444,N,N,2014,0,0,0,0,0,0,0
LDUN2,52.6783784,0.7669504,N,N,2016,0,0,0,0,0,0,0
LDUN3,52.6820978,0.7655414,N,N,2016,0,0,0,0,0,0,0
SABA,52.9117146,1.1609578,N,N,NA,NA,NA,0,0,0,0,0
WRONG,52.8933642,1.144456,N,N,2016,0,0,0,0,0,0,0
